ID,Mapping
0913,"Poultry fat; other than that of heading 0209 or 1503~Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent~Animal fat; pig and poultry fat (including lard), other than that of heading no. 0209 or 1503"
1122,"Beverages, fermented; (e.g. cider, perry, mead)~Beverages, fermented; (e.g. cider, perry, mead, sake)~Beverages, fermented; (eg cider, perry, mead)~Beverages, fermented; (egg cider, perry, mead)"
1123,Beer; made from malt
1213,Tobacco refuse
1212,Tobacco; partly or wholly stemmed or stripped
1221,"Cigars, cheroots and cigarillos; containing tobacco including the weight of every band, wrapper or attachment thereto~Cigars, cigarillos and cheroots; containing tobacco substitutes including the weight of every band, wrapper or attachment thereto"
1222,"Cigars, cigarillos and cheroots; containing tobacco substitutes including the weight of every band, wrapper or attachment thereto"
1223,"Tobacco; other than homogenised or reconstituted or smoking~Tobacco; other than ""homogenised"" or ""reconstituted"" or ""smoking"""
2111,"Hides and skins; (not whole), but including butts, bends and bellies, of bovine (incl. buffalo) and equine animals, fresh, salted or preserved, but not tanned, parchment dressed or further prepared, whether or not dehaired or split~Hides and skins; other than whole, but including butts, bends and bellies, of bovine (including. buffalo) and equine animals, fresh, salted or preserved, but not tanned, parchment dressed or further prepared, whether or not dehaired or split~Hides and skins; raw, of equine animals, fresh or salted, dried, limed, pickled or otherwise preserved (excluding tanned, parchment"
2116,"Skins; raw, of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment"
2117,"Hides and skins; raw, of animals n.e.c. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment~Skins; raw, of sheep or lambs, fresh or salted, dried, limed or otherwise preserved other than by pickling, (but not tanned, parchment"
2112,"Hides and skins; (not whole), but including butts, bends and bellies, of bovine (incl. buffalo) and equine animals, fresh, salted or preserved, but not tanned, parchment dressed or further prepared, whether or not dehaired or split~Hides and skins; other than whole, but including butts, bends and bellies, of bovine (including. buffalo) and equine animals, fresh, salted or preserved, but not tanned, parchment dressed or further prepared, whether or not dehaired or split~Hides and skins; raw, whole, of bovine or equine animals, of a weight per skin not exceeding 8kg when simply dried, 10kg when dry~Hides and skins; raw, whole, of bovine animals, weight per skin not exceeding 8kg when simply dried, 10kg when dry"
2114,"Hides and skins; raw, of animals n.e.c. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment~Hides and skins; raw, of goats or kids (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment"
2120,"Hides and skins; raw, of animals n.e.c. in this chapter, fresh, salted, dried, limed, pickled or otherwise preserved, (but not tanned, parchment"
2221,Ground
2222,"Soya beans; other than seed, whether or not broken~Soya beans; whether or not broken"
2223,"Oil seeds; cotton seeds, other than seed, whether or not broken~Oil seeds; cotton seeds, whether or not broken"
2224,"Oil seeds; sunflower seeds, whether or not broken"
2225,"Oil seeds; sesamum seeds, whether or not broken"
2226,"Oil seeds; rape or colza seeds, other than low erucic, whether or not broken~Oil seeds; rape or colza seeds, whether or not broken"
2231,Copra
2232,"Oleaginous fruits; palm nuts and kernels, whether or not broken~Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken"
2234,"Oil seeds; linseed, whether or not broken"
2235,"Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken~Oil seeds; castor oil seeds, whether or not broken"
2238,"Oil seeds and oleaginous fruits; n.e.s. in heading no. 1207, whether or not broken~Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken"
2239,Flours and meals of oil seeds or oleaginous fruits; excluding soya beans and mustard seeds
2479,"Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.c. in heading no. 4403~Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives"
2481,Wood; railway or tramway sleepers (cross
2482,"Wood; coniferous species, other than of pine (Pinus spp.) or fir (Abies spp.) or spruce (Picea spp.), sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger"
