HS2017,SITC2
251310,27722
251320,27722
251400,27311
251511,27312
251512,27312
251520,27312
251611,27313
251612,27313
251620,27313
251690,27313
251710,2734
251720,2734
251730,2734
251741,2734
251749,2734
251810,27823
251820,27823
251830,27823
251910,27824
251990,27824
252010,27323
252020,59899
252100,27322
252210,6611
252220,6611
252230,6611
252310,6612
252321,6612
252329,6612
252330,6612
252390,6612
252410,2784
252490,2784
252510,27852
252520,27852
252530,27852
252610,27893
252620,27893
252800,27894
252910,27854
252921,27854
252922,27854
252930,27854
253010,27899
253020,27899
253090,27899
260111,2815
260112,2816
260120,2814
260200,2877
260300,28711
260400,28721
260500,28799
260600,28731
260700,2874
260800,2875
260900,2876
261000,28791
261100,28792
261210,2860
261220,2860
261310,28793
261390,28793
261400,28793
261510,28793
261590,28793
261610,28901
261690,28901
261710,28799
261790,28799
261800,27861
261900,27862
262011,2881
262019,2881
262021,2881
262029,2881
262030,2881
262040,2881
262060,2881
262091,2881
262099,2881
262110,562
262190,562
270111,3221
270112,3222
270119,3222
270120,32311
270210,3223
270220,32312
270300,3224
270400,3232
270500,3415
270600,33521
270710,33522
270720,33523
270730,33524
270740,33525
270750,33525
270791,33525
270799,33525
270810,33531
270820,33532
270900,3330
271012,334
271019,334
271020,334
271091,334
271099,334
271111,34139
271112,34131
271113,34131
271114,34139
271119,34139
271121,3414
271129,3414
271210,33511
271220,33512
271290,33512
271311,33542
271312,33542
271320,33541
271390,33541
271410,27896
271490,27896
271500,33543
271600,3510
280110,52213
280120,52214
280130,52214
280200,52215
280300,52218
280410,52211
280421,52211
280429,52211
280430,52211
280440,52211
280450,52212
280461,52212
280469,52212
280470,52212
280480,52212
280490,52212
280511,52217
280512,52217
280519,52217
280530,52217
280540,52216
280610,52221
280620,52221
280700,52222
280800,52223
280910,5222
280920,5222
281000,52229
281111,52229
281112,52229
281119,52229
281121,52229
281122,52229
281129,52229
281211,52231
281212,52231
281213,52231
281214,52231
281215,52231
281216,52231
281217,52231
281219,52231
281290,52231
281310,52232
281390,52232
281410,52251
281420,52251
281511,52252
281512,52253
281520,52254
281530,52254
281610,52255
281640,52255
281700,52241
281810,52257
281820,28732
281830,52256
281910,52242
281990,52242
282010,52243
282090,52243
282110,52244
282120,52244
282200,52245
282300,52246
282410,52247
282490,52247
