ID,Title,Parent
3354,"Petroleum bitumen, petroleum coke and bituminous mixtures, n.e.s.",335
3351,Petroleum jelly and mineral waxes,335
3352,Mineral tars and products of their distillation (including similar products obtained by processing petroleum or by any other process),335
3413,"Petroleum gases and other gaseous hydrocarbons, n.e.s., in liquefied state",341
3414,"Petroleum gases and other gaseous hydrocarbons, n.e.s., in gaseous state",341
3415,"Coal gas, water gas and similar gases",341
3510,Electric current,351
4113,"Animals oils, fats and greases, n.e.s.",411
4111,"Fat and oils of fish and marine mammals, whether or not refined",411
4232,Soya bean oil,423
4233,Cotton seed oil,423
4234,Groundnut (peanut) oil,423
4235,Olive oil,423
4236,Sunflower seed oil,423
4239,Other 'soft' fixed vegetable oils,423
4241,Linseed oil,424
4242,Palm oil,424
4243,Coconut (copra) oil,424
4244,Palm kernel oil,424
4245,Castor oil,424
4249,"Fixed vegetable oils, n.e.s.",424
4311,"Oils, animal and vegetable, boiled, oxidized, dehydrated, sulphurized, blown or polymerlzed by heat in vacuum or in inert gas, or otherwise modified",431
4312,"Animal or vegetable oils and fats, wholly or partly hydrogenated, or solidified or hardened by any other process, whether or not refined, but not further prepared",431
4313,"Fatty acids, acid oils, and residues resulting from the treatment of fatty substances or animal or vegetable waxes; degras",431
4314,Waxes of animal or vegetable origin,431
5111,Acyclic hydrocarbons,511
5112,Cyclic hydrocarbons,511
5114,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons",511
5113,Halogenated derivatives of hydrocarbons,511
5122,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",512
5123,Phenols and phenol,512
5121,"Acyclic alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives",512
5138,"Polycarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derivatives",513
5137,"Monocarboxylic acids and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nltrosated derivatives",513
5139,"Carboxylic acids with alcohol, phenol, aldehyde or ketone function and other single or complex oxygen",513
5145,Amine,514
5146,Single or complex oxygen,514
5147,Carboxyamlde,514
5148,Other nitrogen,514
5154,Organo,515
5155,Other organo,515
5156,Heterocyclic compound; nucleic acids,515
5157,"Sulphonamides, sultones and sultams",515
5163,"Inorganic esters and their salts, and their halogenated, sulphonated, nitrated or nitrosated derivatives",516
5169,"Organic chemicals, n.e.s.",516
5162,"Aldehyde, ketone and quinone",516
