HS2012,SITC2
090619,07522
090620,07522
090710,07523
090720,07523
090811,07524
090812,07524
090821,07524
090822,07524
090831,07524
090832,07524
090921,07525
090922,07525
090931,07525
090932,07525
090961,07525
090962,07525
091011,07526
091012,07526
091020,07528
091030,07528
091091,07528
091099,07528
100111,0411
100119,0411
100191,0412
100199,0412
100210,0451
100290,0451
100310,0430
100390,0430
100410,0452
100490,0452
100510,0440
100590,0440
100610,04211
100620,04212
100630,04221
100640,04222
100710,04592
100790,04592
100810,04599
100821,04591
100829,04591
100830,04599
100840,04599
100850,04599
100860,04599
100890,04599
110100,04601
110220,04701
110290,04701
110311,04602
110313,04702
110319,04702
110320,04602
110320,04702
110412,04811
110419,04811
110422,04811
110423,04811
110429,04811
110430,04811
110510,05643
110520,05643
110610,05649
110620,05649
110630,05649
110710,0482
110720,0482
110811,59211
110812,59211
110813,59211
110814,59211
110819,59211
110820,59211
110900,59212
120110,2222
120190,2222
120230,2221
120241,2221
120242,2221
120300,2231
120400,2234
120510,2226
120590,2226
120600,2224
120710,2235
120710,2238
120710,2232
120721,2223
120729,2223
120730,2235
120730,2238
120730,2232
120740,2225
120750,2238
120760,2235
120760,2232
120760,2238
120770,2238
120770,2232
120770,2235
120791,2238
120791,2235
120791,2232
120799,2238
120799,2235
120799,2232
120810,2239
120890,2239
120910,2925
120921,2925
120922,2925
120923,2925
120924,2925
120925,2925
120929,2925
120930,2925
120991,2925
120999,2925
121010,05484
121020,05484
121120,2924
121130,2924
121140,2924
121190,2924
121221,29298
121221,2924
121229,29298
121229,2924
121291,05482
121292,05488
121292,29298
121292,05482
121293,05482
121293,05488
121293,29298
121294,05482
121294,29298
121294,05488
121299,05482
121299,05488
121299,29298
121300,08111
121300,08119
121410,08112
121490,08112
130120,2922
130190,2922
130211,29291
130212,29291
130213,29291
130219,29291
130220,29291
130231,58529
130232,58529
130239,58529
140110,2923
140120,2923
140190,2923
140420,2632
140490,29293
140490,29292
140490,29298
150110,41139
150110,0913
150120,0913
150120,41139
150190,41139
150190,0913
150210,41139
150210,41132
150290,41139
150290,41132
150300,41133
150410,41111
150410,4312
150420,4312
150420,41112
150430,41113
150430,4312
150500,41134
150600,41139
150600,4312
150710,4232
150790,4312
150790,4232
150810,4234
150890,4312
150890,4234
150910,4235
150990,4312
150990,4235
151000,4312
151000,4235
151110,4242
151190,4312
151190,4242
151211,4249
151211,4236
151219,4249
151219,4312
151219,4236
151221,4233
151229,4312
151229,4233
151311,4243
151319,4312
151319,4243
151321,4249
151321,4244
151329,4249
151329,4312
151329,4244
151411,42391
151419,42391
151419,4312
151491,42391
151499,42391
151499,4312
151511,4241
151519,4312
151519,4241
151521,4249
151529,4249
151529,4312
151530,4245
151530,4312
151550,4312
151550,42392
151590,4249
151590,4312
151590,43143
151610,41111
151610,41112
151610,41113
151610,41139
151610,4312
151620,4243
151620,4242
151620,4234
151620,4232
151620,4235
151620,59831
151620,42392
151620,42391
151620,4244
151620,4236
151620,4241
151620,4312
151620,4233
151620,4245
151620,4249
151710,09141
151790,4245
151790,4242
151790,4243
151790,09149
151790,4232
151790,09809
151790,4244
151790,33452
151790,4233
151790,4236
151790,4235
151790,4234
151790,4249
151790,4241
151790,42391
151790,42392
151800,42392
151800,4236
151800,42391
151800,4244
151800,4234
151800,58529
151800,4235
151800,4243
151800,4245
151800,4242
151800,4233
151800,4249
151800,4241
151800,4232
151800,4311
152000,51218
152110,43143
152190,43144
152200,43133
160100,0142
160210,0149
160220,0149
160231,0149
160232,0149
160239,0149
160241,09801
160241,0149
160242,0149
160242,09801
160249,0149
160249,09801
160250,09801
160250,0149
160290,09801
160290,0149
160290,09809
160300,09809
160300,0141
160411,09801
160411,0371
160412,0371
160412,09801
160413,0371
160413,09801
160414,0371
160414,09801
160415,0371
160415,09801
160416,09801
160416,0371
160417,09801
160417,0371
160419,0371
160419,09801
160420,09801
160420,0371
160431,0371
160432,0371
160510,0372
160510,09801
160521,0372
160521,09801
160529,09801
160529,0372
160530,0372
160530,09801
160540,0372
160540,09801
160551,09801
160551,0372
160551,0149
160552,09801
160552,0372
160552,0149
160553,0372
160553,09801
160553,0149
160554,09801
160554,0372
160554,0149
160555,09801
160555,0372
160555,0149
160556,0149
160556,0372
160556,09801
160557,0149
160557,0372
160557,09801
160558,0372
160558,09801
160558,0149
160559,09801
160559,0372
160559,0149
160561,0372
160561,0149
160561,09801
160562,09801
160562,0372
160562,0149
160563,0149
160563,0372
160563,09801
160569,0149
160569,09801
160569,0372
170112,0611
170113,0611
170114,0611
170191,0611
170191,0612
170199,0612
170211,0619
170219,0619
170220,0619
170230,0619
170240,0619
170250,51692
170260,0619
170290,51692
170290,0619
170310,0615
170390,0615
170410,06202
170410,06201
170490,06202
170490,06201
180100,0721
180200,08192
180310,07231
180320,07231
180400,07232
180500,0722
180610,0730
180620,0730
180631,0730
180632,0730
180690,0730
190110,0730
190110,09809
190110,0488
190120,0730
190120,09809
190120,0488
190190,09809
190190,0730
190190,0488
190211,0483
190219,0483
190220,0483
190220,0372
190220,0149
190220,09809
190220,0371
190230,09809
190230,0372
190230,0149
190230,0371
190230,0483
190240,0371
190240,09809
190240,0149
190240,0483
190240,0372
190300,05645
190410,04812
190410,0730
190420,0730
190420,04812
190430,0730
190430,09809
190490,09809
190490,0730
190510,04842
190510,04841
190520,04841
190520,04842
190520,0730
190531,0730
190531,04842
190531,04841
190532,0730
190532,04841
190532,04842
190540,04841
190540,04842
190590,04841
190590,04842
200110,0488
200110,05651
200110,09809
200190,0488
200190,09809
200190,05651
200210,05461
200210,05659
200290,05461
200290,05659
200310,05461
200310,05659
200390,05461
200390,05659
200410,05461
200410,0488
200410,09809
200410,09801
200410,05659
200490,05659
200490,09801
200490,09809
200490,05461
200490,0488
200510,0488
200510,09809
200510,05659
200520,09801
200520,09809
200520,0488
200520,05659
200540,09809
200540,09801
200540,05659
200540,0488
200551,0488
200551,09801
200551,05659
200551,09809
200559,0488
200559,09809
200559,05659
200559,09801
200560,09801
200560,09809
200560,05659
200560,0488
200570,05659
200570,09809
200570,09801
200570,0488
200580,09809
200591,0488
200591,09809
200591,05659
200591,09801
200599,05659
200599,0488
200599,09809
200599,09801
200600,0582
200710,0583
200791,0583
200799,0583
200811,09809
200811,05861
200811,05899
200811,05891
200819,05861
200819,05891
200819,09809
200819,05899
200820,05899
200820,05861
200830,05861
200830,05899
200840,05861
200840,05899
200840,09809
200850,05899
200850,05861
200860,05861
200860,05899
200870,05899
200870,05861
200880,05899
200880,05861
200880,09809
200891,05899
200891,05861
200891,09809
200893,09809
200893,05861
200893,05899
200897,05861
200897,05899
200897,09809
200899,09809
200899,05861
200899,05899
200911,05851
200912,05851
200919,05851
200921,05852
200929,05852
200931,05853
200939,05853
200941,05854
200949,05854
200950,05855
200961,05857
200969,05857
200971,05857
200979,05857
200981,05857
200989,05857
200990,05858
210111,09809
210111,0712
210112,0712
210112,09809
210120,09802
210120,09809
210130,0712
210210,08119
210210,29298
210210,09806
210220,09806
210220,08119
210220,29298
210230,09806
210230,29298
210230,08119
210310,09804
210320,09804
210320,09809
